ekran	durum	tur	oran	zemin	on	yol	metin
ana-kucult	edilgen	yazi	3.91	#101114	#71717A	RadioButton#RbCodecAuto > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbCodecAuto	Automatic
ana-kucult	edilgen	yazi	3.91	#101114	#71717A	RadioButton#RbFillTarget > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbFillTarget	Fill Target
ana-kucult	edilgen	yazi	3.91	#101114	#71717A	RadioButton#RbHdrPreserve > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbHdrPreserve	Preserve HDR
ana-kucult	edilgen	simge	3.91	#101114	#71717A	Panel > ContentPresenter#PART_ContentPresenter > Grid > Path#GlyphAudio @Button#BtnAudioToggle	GlyphAudio
ana-kucult	edilgen	yazi	3.91	#101114	#71717A	Border#Root > Panel > ContentPresenter#PART_ContentPresenter > TextBlock @Button#BtnAddSubtitle	Add Subtitle File
ana-kucult	edilgen	simge	3.91	#101114	#71717A	Panel > ContentPresenter#PART_ContentPresenter > Grid > Path#GlyphFrame @Button#BtnFrameToggle	GlyphFrame
ana-kucult	edilgen	simge	3.91	#101114	#71717A	CheckBox#ChkResolution > Grid > Panel > Path#CheckMark @CheckBox#ChkResolution	CheckMark
ana-kucult	edilgen	yazi	3.91	#101114	#71717A	CheckBox#ChkResolution > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @CheckBox#ChkResolution	May Lower Resolution
ana-kucult	edilgen	yazi	3.91	#101114	#71717A	RadioButton#RbFixedSource > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbFixedSource	Source
ana-kucult	edilgen	yazi	3.91	#101114	#71717A	RadioButton#RbFixed1080 > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbFixed1080	1080p
ana-kucult	edilgen	simge	3.91	#101114	#71717A	Panel > ContentPresenter#PART_ContentPresenter > Grid > Path#GlyphAdvanced @Button#BtnAdvancedToggle	GlyphAdvanced
ana-kucult	edilgen	yazi	3.91	#101114	#71717A	RadioButton#RbAdvModeAuto > Grid > ContentPresenter#PART_ContentPresenter > TextBlock @RadioButton#RbAdvModeAuto	Automatic
